observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs2052;46;PE;NORDESTE;30;54.25;2021;0 Km;48;70250.25;1.06;8200.0;2583.0;23;N;N;EF;706;3.0;A2;BOM;A2;N;0;0.0
obs1018;57;MS;CENTRO-OESTE;30;68.66;2021;0 Km;24;16565.51;0.71;6560.0;1927.0;11;N;N;EF;747;3.0;A2;BOM;A1;S;0;0.0
obs5808;39;SP;SULDESTE;30;48.78;2014;>= 3 anos;24;18465.61;0.83;4100.0;1804.0;8;N;N;EF;676;;;;;;7;0.0
obs4727;42;RS;SUL;30;5.49;2022;0 Km;48;43697.35;0.99;2870.0;1353.0;0;N;N;EF;754;3.0;A4;BOM;C2;N;-1;0.0
obs3274;54;SP;SULDESTE;30;82.66;2022;0 Km;18;6883.17;0.68;3280.0;1722.0;13;N;S;EF;755;3.0;A4;BOM;A1;S;-1;0.0
obs6770;65;AP;NORTE;30;22.74;2022;0 Km;60;57312.33;1.18;2296.0;492.0;60;N;N;EF;692;1.0;A2;BOM;B3;;-1;0.0
obs7167;41;RJ;SULDESTE;30;63.53;2022;0 Km;24;32827.33;0.0;6970.0;1886.0;0;N;N;EF;763;1.0;A2;BOM;A1;;-1;0.0
obs6816;38;CE;NORDESTE;30;61.5;2022;0 Km;18;15209.67;0.14;4100.0;820.0;21;S;N;EF;697;3.0;A1;BOM;A1;S;-1;0.0
obs7296;28;PR;SUL;30;43.59;2018;>= 3 anos;36;19461.01;0.82;2378.0;1312.0;26;N;N;EF;705;;;;;;3;0.0
obs412;56;SC;SUL;30;39.68;2012;>= 3 anos;48;16858.34;1.66;2173.0;1312.0;24;N;N;EF;707;;;;;N;9;1.0
obs3155;50;RJ;SULDESTE;30;14.82;2016;>= 3 anos;60;29544.68;1.8;3280.0;2501.0;25;N;S;EF;661;;;;;N;5;0.0
obs3697;60;PI;NORDESTE;30;57.9;2021;0 Km;30;26151.6;0.0;4100.0;4264.0;0;N;N;EF;777;3.0;A2;BOM;A1;S;0;0.0
obs3371;38;PE;NORDESTE;30;72.0;2021;0 Km;24;25268.58;0.0;8200.0;2091.0;13;S;N;EF;706;3.0;A2;BOM;A1;S;0;0.0
obs5473;75;MT;CENTRO-OESTE;30;28.41;2022;0 Km;60;31509.29;1.44;2706.0;1312.0;29;N;N;EF;679;1.0;A1;BOM;B3;;-1;0.0
obs800;38;SP;SULDESTE;30;63.02;2021;0 Km;24;30396.19;0.0;4100.0;4264.0;31;N;N;EF;691;3.0;A2;BOM;A1;S;0;0.0
obs8651;46;BA;NORDESTE;30;25.16;2022;0 Km;37;46097.74;1.32;4838.0;1476.0;37;N;N;EF;667;1.0;A2;BOM;B2;;-1;1.0
obs2629;49;RS;SUL;30;40.58;2022;0 Km;49;25348.54;1.16;6560.0;4223.0;11;N;N;EF;706;3.0;A4;BOM;A3;S;-1;0.0
obs7533;45;RJ;SULDESTE;30;26.09;2022;0 Km;60;56005.08;1.02;4920.0;2624.0;0;N;N;EF;759;3.0;A2;BOM;B3;S;-1;0.0
obs1314;62;SP;SULDESTE;30;58.0;2021;0 Km;12;19841.09;0.0;5740.0;2009.0;0;N;N;EF;777;3.0;A4;BOM;A1;N;0;0.0
obs9635;54;SP;SULDESTE;30;75.42;2022;0 Km;37;21783.79;0.98;8200.0;6109.0;9;N;N;EF;746;3.0;A4;BOM;A2;S;-1;0.0
