observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs6853;64;SP;SULDESTE;30;42.63;2022;0 Km;48;34298.95;1.45;4510.0;2993.0;22;N;N;EF;679;3.0;A4;PESS;A2;S;3;0.0
obs5245;57;PR;SUL;30;43.38;2022;0 Km;24;22498.62;1.05;4920.0;1845.0;0;N;N;EF;768;2.0;A4;BOM;A1;N;3;0.0
obs7248;51;AM;NORTE;30;55.63;2022;0 Km;37;40813.86;1.34;8200.0;1558.0;18;N;N;EF;746;3.0;A2;BOM;A2;S;3;0.0
obs5764;60;SP;SULDESTE;30;38.22;2022;0 Km;49;46419.18;0.83;9840.0;1230.0;0;N;N;EF;777;3.0;A4;BOM;B3;;3;0.0
obs8308;69;PE;NORDESTE;30;40.69;2012;>= 3 anos;48;28101.6;1.47;2870.0;1927.0;29;N;N;EF;678;;;;;S;13;0.0
obs6989;45;SC;SUL;30;10.13;2022;0 Km;60;42085.79;1.29;3763.8;1845.0;28;N;N;EF;678;1.0;A4;RUIM;C3;;3;0.0
obs2440;49;PI;NORDESTE;30;73.0;2021;0 Km;24;22062.5;0.0;8777.21;6068.0;11;N;N;EF;755;3.0;A4;BOM;A1;S;4;0.0
obs8750;44;SC;SUL;30;45.08;2016;>= 3 anos;60;21310.89;1.41;3280.0;1927.0;16;N;N;EF;675;;;;;S;9;0.0
obs7972;28;BA;NORDESTE;30;22.03;2022;0 Km;49;37859.99;1.22;3444.0;779.0;34;N;N;EF;669;1.0;A2;BOM;B3;;3;1.0
obs81;54;SP;SULDESTE;30;31.53;2021;0 Km;37;34000.63;1.16;8200.0;6068.0;0;N;N;EF;706;1.0;A4;BOM;B2;S;4;0.0
obs4732;45;SP;SULDESTE;30;41.75;2021;0 Km;48;23661.41;0.78;8200.0;4264.0;0;N;N;EF;772;3.0;A4;BOM;A2;N;4;0.0
obs4440;35;PE;NORDESTE;30;23.08;2022;0 Km;60;32713.91;1.51;3280.0;943.0;26;N;N;EF;669;3.0;A2;RUIM;B3;N;3;0.0
obs1082;47;SP;SULDESTE;30;72.39;2021;0 Km;12;13449.3;0.0;4920.0;6150.0;23;N;N;EF;755;3.0;A2;BOM;A1;S;4;0.0
obs8367;50;SP;SULDESTE;90;56.18;2022;0 Km;24;39491.84;1.05;6560.0;1886.0;29;S;N;EF;706;3.0;A4;BOM;A1;S;3;0.0
obs8001;47;SC;SUL;30;14.75;2022;0 Km;48;58391.97;1.17;6478.0;3321.0;25;N;N;EF;742;3.0;A4;BOM;C2;S;3;0.0
obs4478;60;SP;SULDESTE;30;27.24;2021;0 Km;48;58436.75;1.25;3731.0;4264.0;45;N;N;EF;692;1.0;A4;RUIM;B2;S;4;0.0
obs5358;35;MT;CENTRO-OESTE;30;73.0;2021;0 Km;24;25948.23;0.0;5740.0;1845.0;19;N;N;EF;746;3.0;A2;BOM;A1;S;4;0.0
obs1770;61;SP;SULDESTE;30;42.55;2021;0 Km;36;23198.27;1.08;2870.0;1271.0;27;N;N;EF;711;3.0;A4;BOM;A1;N;4;0.0
obs8958;68;SP;SULDESTE;30;78.15;2022;0 Km;12;13565.4;0.0;4920.0;1189.0;0;N;N;EF;656;1.0;A4;BOM;A1;;3;0.0
obs1711;66;PR;SUL;30;28.0;2021;0 Km;49;63181.8;0.93;8200.0;2501.0;22;N;N;EF;711;2.0;A4;RUIM;B3;N;4;0.0
obs6258;65;RJ;SULDESTE;30;69.56;2021;0 Km;48;26086.07;0.72;14760.0;16072.0;4;N;N;EF;751;3.0;A4;BOM;A2;S;4;0.0
obs4347;50;PR;SUL;30;18.16;2022;0 Km;60;39542.75;1.61;3690.0;492.0;29;S;N;EF;687;3.0;A2;BOM;C3;N;3;0.0
obs5125;31;MA;NORDESTE;30;23.94;2022;0 Km;60;35182.87;1.12;3690.0;1394.0;22;N;N;EF;693;1.0;A2;BOM;B3;;3;0.0
obs3250;27;MT;CENTRO-OESTE;30;41.58;2021;0 Km;49;51075.5;0.93;8200.0;820.0;18;N;N;EF;658;1.0;A1;RUIM;A3;;4;0.0
obs8610;44;SP;SULDESTE;30;37.09;2014;>= 3 anos;48;26849.28;1.58;3444.0;2624.0;23;N;N;EF;657;;;;;S;11;0.0
obs6614;55;RS;SUL;30;74.93;2022;0 Km;36;11246.77;1.2;4346.0;1558.0;9;N;N;EF;668;2.0;A4;PESS;A1;N;3;1.0
obs6884;54;PA;NORTE;30;50.45;2022;0 Km;36;32919.07;0.88;3936.0;5945.0;28;S;N;EF;702;2.0;A2;BOM;A1;S;3;0.0
obs1807;74;PI;NORDESTE;30;51.58;2021;0 Km;60;22407.97;1.29;2337.0;1886.0;23;N;N;EF;747;3.0;A2;BOM;A3;;4;0.0
obs5833;52;ES;SULDESTE;30;26.97;2022;0 Km;60;31501.48;1.37;8200.0;1886.0;9;N;N;EF;702;1.0;A1;BOM;B3;S;3;0.0
obs1726;40;MG;SULDESTE;30;42.32;2014;>= 3 anos;24;16352.01;1.13;4510.0;1927.0;18;N;N;EF;671;;;;;S;11;0.0
obs1579;72;SP;SULDESTE;30;46.89;2014;>= 3 anos;36;15137.31;1.4;4756.0;1230.0;11;N;N;EF;660;;;;;N;11;0.0
obs8168;34;RS;SUL;30;49.35;2022;0 Km;49;41261.23;1.01;3280.0;1312.0;37;N;N;EF;697;3.0;A2;BOM;A3;N;3;0.0
obs4689;70;PI;NORDESTE;30;15.62;2021;0 Km;60;45717.48;1.44;5740.0;8364.0;0;N;N;EF;728;3.0;A1;BOM;C3;S;4;0.0
obs5889;57;PR;SUL;30;16.84;2018;>= 3 anos;48;33986.01;1.29;8200.0;2583.0;12;N;N;EF;717;;;;;S;7;0.0
obs7757;35;SC;SUL;30;66.28;2022;0 Km;24;26057.66;0.0;4100.0;1353.0;27;N;N;EF;706;3.0;A4;BOM;A1;S;3;0.0
obs5541;50;RR;NORTE;30;30.87;2022;0 Km;49;30604.29;1.05;5740.0;1271.0;0;N;S;EF;732;2.0;A1;BOM;B3;N;3;0.0
obs7375;40;CE;NORDESTE;30;45.96;2022;0 Km;60;42041.16;0.83;4920.0;2583.0;0;N;N;EF;763;3.0;A2;BOM;A3;S;3;0.0
obs9297;52;MS;CENTRO-OESTE;30;28.27;2022;0 Km;49;46167.9;1.22;4962.64;1845.0;0;N;N;EF;746;3.0;A2;BOM;B3;S;3;0.0
obs3086;46;GO;CENTRO-OESTE;30;62.38;2021;0 Km;36;32375.75;0.78;6560.0;1968.0;15;N;N;EF;687;3.0;A2;RUIM;A1;S;4;0.0
obs7132;69;SP;SULDESTE;30;0.0;2017;>= 3 anos;60;36725.61;1.21;4100.0;3198.0;22;N;N;EF;713;;;;;S;8;0.0
obs9720;41;PR;SUL;30;30.68;2022;0 Km;49;56469.05;0.9;4920.0;3362.0;33;N;N;EF;678;1.0;A2;PESS;B3;;3;0.0
obs2192;69;RJ;SULDESTE;30;8.46;2015;>= 3 anos;48;30541.51;1.73;4920.0;2091.0;20;N;N;EF;664;;;;;S;10;0.0
obs1752;81;SP;SULDESTE;30;60.01;2021;0 Km;12;18928.13;0.58;4100.0;2050.0;40;N;N;EF;707;1.0;A4;BOM;A1;;4;0.0
obs8043;34;SP;SULDESTE;30;36.33;2022;0 Km;49;51405.82;1.01;5566.98;3280.0;27;N;N;EF;737;3.0;A2;BOM;B3;S;3;0.0
